"Date (UTC)","Timestamp (UTC)","Price"
"09-19-2024 17:00","1726765202","0.385"
"09-19-2024 18:00","1726768802","0.19"
"09-19-2024 19:00","1726772402","0.22"
"09-19-2024 20:00","1726776002","0.225"
"09-19-2024 21:00","1726779602","0.245"
"09-19-2024 22:00","1726783202","0.26"
"09-19-2024 23:00","1726786803","0.26"
"09-20-2024 00:00","1726790402","0.27"
"09-20-2024 01:00","1726794002","0.285"
"09-20-2024 02:00","1726797602","0.295"
"09-20-2024 03:00","1726801203","0.31"
"09-20-2024 04:00","1726804802","0.295"
"09-20-2024 05:00","1726808402","0.26"
"09-20-2024 06:00","1726812002","0.26"
"09-20-2024 07:00","1726815603","0.26"
"09-20-2024 08:00","1726819202","0.21"
"09-20-2024 09:00","1726822803","0.21"
"09-20-2024 10:00","1726826402","0.2"
"09-20-2024 11:00","1726830002","0.225"
"09-20-2024 12:00","1726833602","0.21"
"09-20-2024 13:00","1726837202","0.185"
"09-20-2024 14:00","1726840802","0.185"
"09-20-2024 15:00","1726844402","0.195"
"09-20-2024 16:00","1726848002","0.205"
"09-20-2024 17:00","1726851602","0.2"
"09-20-2024 18:00","1726855202","0.2"
"09-20-2024 19:00","1726858802","0.19"
"09-20-2024 20:00","1726862402","0.205"
"09-20-2024 21:00","1726866002","0.205"
"09-20-2024 22:00","1726869602","0.195"
"09-20-2024 23:00","1726873202","0.175"
"09-21-2024 00:00","1726876802","0.17"
"09-21-2024 01:00","1726880402","0.165"
"09-21-2024 02:00","1726884002","0.155"
"09-21-2024 03:00","1726887602","0.16"
"09-21-2024 04:00","1726891202","0.16"
"09-21-2024 05:00","1726894802","0.16"
"09-21-2024 06:00","1726898402","0.155"
"09-21-2024 07:00","1726902002","0.155"
"09-21-2024 08:00","1726905602","0.155"
"09-21-2024 09:00","1726909202","0.15"
"09-21-2024 10:00","1726912802","0.155"
"09-21-2024 11:00","1726916402","0.175"
"09-21-2024 12:00","1726920002","0.165"
"09-21-2024 13:00","1726923602","0.165"
"09-21-2024 14:00","1726927202","0.165"
"09-21-2024 15:00","1726930802","0.145"
"09-21-2024 16:00","1726934402","0.135"
"09-21-2024 17:00","1726938002","0.125"
"09-21-2024 18:00","1726941602","0.125"
"09-21-2024 19:00","1726945202","0.145"
"09-21-2024 20:00","1726948802","0.145"
"09-21-2024 21:00","1726952402","0.135"
"09-21-2024 22:00","1726956002","0.135"
"09-21-2024 23:00","1726959602","0.135"
"09-22-2024 00:00","1726963202","0.145"
"09-22-2024 01:00","1726966802","0.12"
"09-22-2024 02:00","1726970402","0.125"
"09-22-2024 03:00","1726974001","0.125"
"09-22-2024 04:00","1726977602","0.125"
"09-22-2024 05:00","1726981202","0.135"
"09-22-2024 06:00","1726984802","0.135"
"09-22-2024 07:00","1726988402","0.135"
"09-22-2024 08:00","1726992002","0.115"
"09-22-2024 09:00","1726995602","0.125"
"09-22-2024 10:00","1726999202","0.125"
"09-22-2024 11:00","1727002802","0.145"
"09-22-2024 12:00","1727006402","0.145"
"09-22-2024 13:00","1727010002","0.135"
"09-22-2024 14:00","1727013602","0.135"
"09-22-2024 15:00","1727017202","0.13"
"09-22-2024 16:00","1727020802","0.135"
"09-22-2024 17:00","1727024402","0.125"
"09-22-2024 18:00","1727028002","0.125"
"09-22-2024 19:00","1727031602","0.115"
"09-22-2024 20:00","1727035202","0.105"
"09-22-2024 21:00","1727038802","0.125"
"09-22-2024 22:00","1727042402","0.125"
"09-22-2024 23:00","1727046002","0.135"
"09-23-2024 00:00","1727049602","0.145"
"09-23-2024 01:00","1727053202","0.14"
"09-23-2024 02:00","1727056802","0.14"
"09-23-2024 03:00","1727060402","0.125"
"09-23-2024 04:00","1727064002","0.12"
"09-23-2024 05:00","1727067602","0.12"
"09-23-2024 06:00","1727071202","0.135"
"09-23-2024 07:00","1727074802","0.125"
"09-23-2024 08:00","1727078402","0.125"
"09-23-2024 09:00","1727082002","0.135"
"09-23-2024 10:00","1727085602","0.12"
"09-23-2024 11:00","1727089202","0.135"
"09-23-2024 12:00","1727092802","0.135"
"09-23-2024 13:00","1727096402","0.13"
"09-23-2024 14:00","1727100002","0.135"
"09-23-2024 15:00","1727103602","0.145"
"09-23-2024 16:00","1727107202","0.145"
"09-23-2024 17:00","1727110802","0.155"
"09-23-2024 18:00","1727114402","0.175"
"09-23-2024 19:00","1727118002","0.165"
"09-23-2024 20:00","1727121602","0.155"
"09-23-2024 21:00","1727125202","0.155"
"09-23-2024 22:00","1727128801","0.165"
"09-23-2024 23:00","1727132402","0.14"
"09-24-2024 00:00","1727136002","0.13"
"09-24-2024 01:00","1727139602","0.125"
"09-24-2024 02:00","1727143202","0.125"
"09-24-2024 03:00","1727146802","0.125"
"09-24-2024 04:00","1727150402","0.125"
"09-24-2024 05:00","1727154002","0.13"
"09-24-2024 06:00","1727157602","0.135"
"09-24-2024 07:00","1727161202","0.145"
"09-24-2024 08:00","1727164802","0.13"
"09-24-2024 09:00","1727168402","0.135"
"09-24-2024 10:00","1727172002","0.125"
"09-24-2024 11:00","1727175602","0.13"
"09-24-2024 12:00","1727179202","0.135"
"09-24-2024 13:00","1727182802","0.135"
"09-24-2024 14:00","1727186402","0.125"
"09-24-2024 15:00","1727190002","0.125"
"09-24-2024 16:00","1727193602","0.125"
"09-24-2024 17:00","1727197203","0.135"
"09-24-2024 18:00","1727200802","0.13"
"09-24-2024 19:00","1727204403","0.14"
"09-24-2024 20:00","1727208002","0.145"
"09-24-2024 21:00","1727211602","0.14"
"09-24-2024 22:00","1727215203","0.14"
"09-24-2024 23:00","1727218802","0.14"
"09-25-2024 00:00","1727222402","0.14"
"09-25-2024 01:00","1727226002","0.135"
"09-25-2024 02:00","1727229602","0.135"
"09-25-2024 03:00","1727233202","0.135"
"09-25-2024 04:00","1727236802","0.14"
"09-25-2024 05:00","1727240402","0.14"
"09-25-2024 06:00","1727244002","0.14"
"09-25-2024 07:00","1727247602","0.12"
"09-25-2024 08:00","1727251202","0.115"
"09-25-2024 09:00","1727254802","0.12"
"09-25-2024 10:00","1727258402","0.115"
"09-25-2024 11:00","1727262002","0.115"
"09-25-2024 12:00","1727265602","0.125"
"09-25-2024 13:00","1727269202","0.115"
"09-25-2024 14:00","1727272802","0.135"
"09-25-2024 15:00","1727276402","0.16"
"09-25-2024 16:00","1727280003","0.16"
"09-25-2024 17:00","1727283603","0.12"
"09-25-2024 18:00","1727287202","0.15"
"09-25-2024 19:00","1727290803","0.135"
"09-25-2024 20:00","1727294402","0.1"
"09-25-2024 21:00","1727298002","0.095"
"09-25-2024 22:00","1727301602","0.125"
