orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,event
0x26824efda6160c2a77df660ee3e3c25cedf1c34b37d2749a8ae0ad4673ab3066,0xea5981ca48dc40c950fc1b2496c4a0ef900bb841,0xea5981ca48dc40c950fc1b2496c4a0ef900bb841,0,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890677488,57896044618658097711785492504343953926634992332820282019728792003956565210593,0,OrderFilled
0x2299f1a53c34515e490b6236391e627124ff5d552a301aeff0afc16647ce478a,0xea5981ca48dc40c950fc1b2496c4a0ef900bb841,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890482176,390625,195312,57896044618658097711785492504343953926634992332820282019728792003956564819968,OrderFilled
0x136b305c61b0d37bff603c951b1ed15f8ca2b339a5a4b9b5de8ca39471b941b1,0xea5981ca48dc40c950fc1b2496c4a0ef900bb841,0xea5981ca48dc40c950fc1b2496c4a0ef900bb841,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890482176,390625,195312,57896044618658097711785492504343953926634992332820282019728792003956564819968,OrderFilled
0xafd8e6fd38b48897e13795c8bc8884b95cf601e0828c3ce617b494655e7c6afd,0xea5981ca48dc40c950fc1b2496c4a0ef900bb841,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890677488,57896044618658097711785492504343953926634992332820282019728792003956565210593,0,OrderFilled
0x57f4bdd17c427ae00e9d129b95b9c1b19eba0c320a205e00da48d87d8f6b2668,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890482176,117187,57896044618658097711785492504343953926634992332820282019728792003956564879733,72370055773322622139731865630429942408293740416025352524660990004945706024960,OrderFilled
0x2de5fd341b3c4c3def5eac2f1d8e7ff4a17217a54fe87e7380e83ca1a3e02d48,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890541941,72370055773322622139731865630429942408293740416025352524660990004945706142147,57896044618658097711785492504343953926634992332820282019728792003956564819968,OrderFilled
0xfebca36af48dae717c2bad40b3c61b2836261d27a6e4f3939a326c3d4375147d,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890482176,117187,57896044618658097711785492504343953926634992332820282019728792003956564879733,72370055773322622139731865630429942408293740416025352524660990004945706024960,OrderFilled
0xd6d089f0085c0afaf22cf00e63315e323b4b4f999fa86e394a8d1abc8429bb9f,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890541941,72370055773322622139731865630429942408293740416025352524660990004945706142147,57896044618658097711785492504343953926634992332820282019728792003956564819968,OrderFilled
0xa5fd8a0d79a80a07f7638692a4101714750c459b046508096d7a2754a6f2e92b,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890522019,86844066927987146567678238756515930889952488499230423029593188005934847308077,0,OrderFilled
0xcd919b390db562c80da391633d91d41dea18017cf33875ef916feeee57d07cee,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,257103983037378177634147924423081804999237965966329774190985199732065598146,20806391034830253865172911368748608442384450369607288850840034626421890482176,78125,39843,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
